Snapshot,P_Disk,P_Irr,P_Spheroid,SubhaloID
25,1.1802362e-05,0.89711404,0.0021481812,43125
25,0.5780606,0.9723384,0.0066657662,43126
25,0.0026961565,0.61953235,0.002266258,43127
25,0.18772888,0.9607837,0.0011131763,43887
25,0.00027686357,0.8154441,0.0010564327,44689
25,0.02809003,0.9417633,6.100833e-05,44690
25,0.006317258,0.6135628,0.0019326806,44691
25,0.68953615,0.7956848,0.004056722,45530
25,0.6767072,0.48415756,0.003476888,45531
25,1.5541857e-05,0.41398144,0.009533197,45533
25,0.7937707,0.75740695,0.059898913,46227
25,0.43496788,0.8344977,0.265405,46229
25,0.5947839,0.8799218,0.0027531087,46839
25,0.11134204,0.99472904,1.8289797e-05,46840
25,0.51653606,0.9568207,0.010551333,47380
25,0.7338866,0.9683738,0.008112997,47381
25,0.5499292,0.8690616,0.0013103187,47382
25,0.55397767,0.83300066,0.12166688,48060
25,0.32383335,0.9706521,0.024277508,48446
25,0.6755634,0.9118333,0.0037034154,49084
25,0.62707436,0.9105594,0.009221107,49085
25,0.5312391,0.9768175,0.07743257,49760
25,0.5962386,0.99184686,0.0034394562,50327
25,0.43945533,0.9660567,0.001265794,50812
25,0.004863143,0.808824,0.0013053715,50813
25,0.67164135,0.7337831,0.0053655207,50814
25,0.66132176,0.8435887,0.0050262213,51735
25,2.8346327e-07,0.8394373,0.00055000186,51736
25,0.61437935,0.31672567,0.0031481087,52297
25,0.0016332865,0.9083195,0.00037413836,52298
25,0.24869457,0.95738816,0.0011686385,52884
25,0.6425779,0.6770611,0.008762509,52885
25,0.00024431944,0.93361866,6.0914845e-05,53450
25,0.25121236,0.9927729,0.0006388724,53902
25,2.2324188e-05,0.89873445,0.00064888597,53903
25,1.1639724e-07,0.71960515,0.0039550066,53906
25,0.0008350909,0.9765154,0.0022532642,54516
25,0.7088244,0.38145646,0.0027341843,55210
25,0.002498418,0.90265167,0.00064620376,55750
25,0.23681921,0.97931004,0.0020157397,56184
25,0.15957245,0.9927206,0.0006760359,56603
25,0.009414911,0.8006265,0.0014358461,56604
25,0.5662795,0.998146,0.0011919737,57100
25,0.38042614,0.993379,0.013817936,57584
25,0.6397082,0.76204157,0.014378339,57585
25,0.7132144,0.45054105,0.0038273036,57587
25,0.020420372,0.01491037,0.55910355,58063
25,2.595383e-10,0.4106111,0.0030474663,58064
25,0.07807565,0.9764154,0.000122055935,58442
25,1.29211485e-05,0.95632803,0.00037696958,58852
25,0.63121593,0.8560269,0.0044156015,59237
25,0.55625707,0.54466516,0.09497216,59607
25,0.7660291,0.9734863,0.0047332346,60284
25,1.6421282e-05,0.93263793,0.0005508065,60285
25,0.002015829,0.9574693,0.00016209483,60916
25,0.66904277,0.81139374,0.0049477518,61220
25,0.68559813,0.41239092,0.0028637946,61221
25,0.68083566,0.5076558,0.0017262101,61818
25,0.0012727678,0.9658563,0.00011709047,61819
25,0.56164473,0.9624673,0.0037018955,62302
25,0.7993746,0.67387605,0.0026409328,62712
25,0.0023403466,0.6844151,0.0018155873,62713
25,0.3010869,0.9899685,0.00047296286,63307
25,0.0008187294,0.9513726,0.00071692467,63308
25,0.7387385,0.5289454,0.0041568875,63777
25,3.2323624e-09,0.7117605,0.0014892817,63778
25,0.6770749,0.44993123,0.03214112,63780
25,0.0008638799,0.85850453,0.0003117919,64183
25,0.0056556463,0.91362166,0.103235096,64847
25,0.59553295,0.84859073,0.0020162165,64848
25,8.438292e-06,0.76925373,0.0033251047,64850
25,0.61499304,0.9176389,0.0822894,65350
25,0.0977872,0.9727876,0.00015357137,65760
25,0.0019973814,0.9845916,0.0006803572,66258
25,0.047733635,0.94238436,9.5362615e-05,66640
25,1.3684277e-06,0.8010159,0.00024196506,66641
25,0.35266328,0.9722483,0.0018664896,66980
25,0.71287835,0.85454655,0.0035389364,66981
25,0.6651948,0.48010254,0.0039038062,67491
25,0.0044445395,0.7158338,0.0012633502,67492
25,2.0558888e-05,0.94646406,0.00020602345,67897
25,3.2111636e-08,0.8127579,0.00089752674,67898
25,4.3828036e-06,0.85110795,0.000970155,68204
